id,user_IXL SS,user_IXL Science,user_IXL Math,user_IXL Reading,user_AR,subgroup_TCAPMathLevel,subGroup_bottom25,subgroup_ell,user_Reflex M,subgroup_lunchStatus,subgroup_specialEd,subgroup_gender,districtId,studentId,studentLevel,year,measurementTypeId,value_lexileStar,value_starReadingUnified,value_starMathUnified,value_acapMathLevel,value_acapMath,value_acapELALevel,value_acapELA,value_acapLexile,value_starReading,value_starMath,value_AcapMathRc2,value_AcapMathRc3,value_AcapMathRc1,value_AcapElaRc8,value_AcapElaRc7,value_AcapElaRc5,value_AcapElaRc4,value_AcapElaRc3,value_AcapElaRc2,value_AcapElaRc6,value_AcapElaRc1,value_acapScienceLevel,value_acapScience,value_AcapMathRc4,value_edulasticMath,value_edulasticELA,value_edulasticScience,value_StudySyncELA,value_AcapSciRc3,value_AcapSciRc2,value_AcapSciRc1,value_edulasticHistory,value_starEarlyLitUnified,value_actMathScore,value_actReadingScore,value_actEnglishScore,value_actCompositeScore,value_actScienceScore,value_StarEarlyLit,value_AcapMathRc5,value_AcapSciRc4,value_AcapElaRc10,value_AcapElaRc9,value_actStemScore,value_acapReadSubscore,value_edulasticUsHistory,value_edulasticAlgebra,value_edulasticGeometry,value_edulasticBio,value_edulasticWH,value_edulasticPhySci,value_edulasticGeography,value_edulasticEnvironmental,value_edulasticAP,value_edulasticGov,value_edulasticCivics,value_edulasticChem,value_edulasticEco,value_edulasticPreCal
4933501,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480183,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,56.0,52.0,,,,
4931335,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480184,10.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,15.0,11.0,8.0,12.0,14.0,,,,,,15.0,,43.333333333333336,18.666666666666668,,,,,,,,,,,,
5443935,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480186,12.0,2023,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.33333333333333,,,,,
7515562,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480187,12.0,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,80.0,92.0,,,,
3268674,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480188,11.0,2023,4,,,,,,,,,,,,,,,,,,,,,,,,,,38.66666666666666,,,,,,,,16.5,15.5,13.0,14.5,14.0,,,,,,12.0,,62.0,37.0,,,,,,54.0,,,,,,
7517587,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480189,12.0,2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,66.25,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,66.66666666666667,82.0,,,,
7515563,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480190,12.0,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,70.0,88.0,,,,
7513994,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480191,12.0,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,83.25,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,80.66666666666667,72.0,,,,
4933583,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480192,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,52.75,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,78.0,68.0,,,,
3268673,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480193,11.0,2023,4,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,16.5,16.5,14.5,15.5,14.5,,,,,,16.0,,59.66666666666666,74.75,,,,,,50.5,,,,,,
7517590,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480194,12.0,2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,70.66666666666667,76.0,,,,
4933500,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480195,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,66.25,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,73.33333333333333,64.0,,,,
4933670,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480197,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,78.33333333333333,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,70.66666666666667,88.0,,,,
7517593,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480198,12.0,2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,69.75,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,69.33333333333333,82.0,,,,
7514000,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480199,12.0,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,73.33333333333333,60.0,,,,
4933457,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480200,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,94.0,,,,
